date,roi,log_dev_2019,centered_yoy,trailing_yoy,no2_monthly
2018-07-01,la_paz_el_alto,,,,2.370286401616604e-05
2018-08-01,la_paz_el_alto,,,,2.854299096798626e-05
2018-09-01,la_paz_el_alto,,,,2.6626658098708455e-05
2018-10-01,la_paz_el_alto,,,,1.3035720428101655e-05
2018-11-01,la_paz_el_alto,,,,1.6000359437468334e-05
2018-12-01,la_paz_el_alto,,,,1.5425253444031064e-05
2019-01-01,la_paz_el_alto,14.333966331452785,,,1.1831437128044168e-05
2019-02-01,la_paz_el_alto,15.430754702778238,,,9.350419956991373e-06
2019-03-01,la_paz_el_alto,16.228261380411624,,,9.947073047144532e-06
2019-04-01,la_paz_el_alto,15.179215648158184,,,1.3235605810154211e-05
2019-05-01,la_paz_el_alto,15.680115375782222,,,1.8671171588221335e-05
2019-06-01,la_paz_el_alto,6.461086821570028,,,2.1968011333895774e-05
2019-07-01,la_paz_el_alto,0.0,,,2.7037113330928337e-05
2019-08-01,la_paz_el_alto,0.5117598057251982,,,3.140955691738529e-05
2019-09-01,la_paz_el_alto,2.178988695582973,,,2.3477145364036945e-05
2019-10-01,la_paz_el_alto,2.9119426662969516,,,1.3843298904235513e-05
2019-11-01,la_paz_el_alto,-3.4364427486972104,,,5.292696018231177e-06
2019-12-01,la_paz_el_alto,-8.015805828904021,,,7.1041248617796e-06
2020-01-01,la_paz_el_alto,-10.09611302119513,-24.430079352647915,,1.2580793542332544e-05
2020-02-01,la_paz_el_alto,-10.466534622897328,-25.897289325675565,,1.1421399264497054e-05
2020-03-01,la_paz_el_alto,-13.745821117541013,-29.974082497952637,,1.0861591147373507e-05
2020-04-01,la_paz_el_alto,-13.236404814612435,-28.41562046277062,,6.178678157206626e-06
2020-05-01,la_paz_el_alto,-14.537354163102023,-30.217469538884245,,1.0777462394886434e-05
2020-06-01,la_paz_el_alto,-9.413157423929341,-15.87424424549937,-24.430079352647915,1.7114918359863574e-05
2020-07-01,la_paz_el_alto,-3.8693867794528103,-3.8693867794528103,-25.897289325675565,2.586161693192028e-05
2020-08-01,la_paz_el_alto,-5.870391963256338,-6.382151768981537,-29.974082497952637,2.1191450619466384e-05
2020-09-01,la_paz_el_alto,-7.592386299116427,-9.7713749946994,-28.41562046277062,2.495707543537971e-05
2020-10-01,la_paz_el_alto,-9.797396591531538,-12.70933925782849,-30.217469538884245,1.184241241656138e-05
2020-11-01,la_paz_el_alto,-1.0549716256265995,2.381471123070611,-15.87424424549937,9.788726526032905e-06
2020-12-01,la_paz_el_alto,2.5432962465341546,10.559102075438176,-3.8693867794528103,1.3817391594003938e-05
2021-01-01,la_paz_el_alto,3.4892792699469766,13.585392291142107,-6.382151768981537,9.89520906227002e-06
2021-02-01,la_paz_el_alto,3.797755390509394,14.264290013406722,-9.7713749946994,9.28917184393276e-06
2021-03-01,la_paz_el_alto,5.477272459612514,19.223093577153527,-12.70933925782849,8.336400955936936e-06
2021-04-01,la_paz_el_alto,3.961271460103255,17.19767627471569,2.381471123070611,1.764046399987902e-05
2021-05-01,la_paz_el_alto,7.079969305827483,21.617323468929506,10.559102075438176,1.6597453551247436e-05
2021-06-01,la_paz_el_alto,10.095087711131256,19.508245135060598,13.585392291142107,1.917233711172164e-05
2021-07-01,la_paz_el_alto,8.072777759463534,11.942164538916344,14.264290013406722,2.6836879229538895e-05
2021-08-01,la_paz_el_alto,6.33493953337716,12.205331496633498,19.223093577153527,2.5923240318729647e-05
2021-09-01,la_paz_el_alto,6.641777826477657,14.234164125594084,17.19767627471569,2.0805913447003145e-05
2021-10-01,la_paz_el_alto,9.041515110026666,18.838911701558203,21.617323468929506,1.721758252626353e-05
2021-11-01,la_paz_el_alto,9.32952122484405,10.38449285047065,19.508245135060598,1.4055946963665337e-05
2021-12-01,la_paz_el_alto,9.977233892362491,7.433937645828337,11.942164538916344,1.08400852994826e-05
2022-01-01,la_paz_el_alto,10.333213553098908,6.843934283151931,12.205331496633498,8.032614927943418e-06
2022-02-01,la_paz_el_alto,12.085822015172454,8.28806662466306,14.234164125594084,9.63757960839668e-06
2022-03-01,la_paz_el_alto,13.288406641481387,7.811134181868873,18.838911701558203,1.1118385141634536e-05
2022-04-01,la_paz_el_alto,14.112872291250333,10.151600831147078,10.38449285047065,1.8260789080804656e-05
2022-05-01,la_paz_el_alto,16.019985062903253,8.94001575707577,7.433937645828337,1.793895855115293e-05
2022-06-01,la_paz_el_alto,15.690410127247034,5.595322416115778,6.843934283151931,2.0009077067646147e-05
2022-07-01,la_paz_el_alto,16.39936378321636,8.326586023752824,8.28806662466306,3.311843406241306e-05
2022-08-01,la_paz_el_alto,19.35370710494606,13.018767571568901,7.811134181868873,2.9947625255712592e-05
2022-09-01,la_paz_el_alto,20.43640667175346,13.794628845275803,10.151600831147078,2.296963496158285e-05
2022-10-01,la_paz_el_alto,17.910007100291025,8.86849199026436,8.94001575707577,2.1645219769109232e-05
2022-11-01,la_paz_el_alto,18.663101087392953,9.333579862548902,5.595322416115778,1.3510897545183312e-05
2022-12-01,la_paz_el_alto,22.14004960802267,12.16281571566018,8.326586023752824,1.1802664412501936e-05
2023-01-01,la_paz_el_alto,25.499380228289326,15.166166675190418,13.018767571568901,1.1450476196853458e-05
2023-02-01,la_paz_el_alto,26.300759020014652,14.214937004842199,13.794628845275803,1.0974714524049816e-05
