roi,name,dept,altitude,date,no2_mol_m2,n_valid_pixels
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,1.0896002428934172e-05,41
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,6.600563459451296e-06,576
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,4.045943658003372e-06,769
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,1.9995559850010607e-06,114
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
montero,Montero,Santa Cruz,lowland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,-2.4149499137310916e-06,153
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
oruro,Oruro,Oruro,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
potosi,Potosí,Potosí,highland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,-6.972851702105003e-09,1737
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,2.0616615219309732e-06,37
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
sucre,Sucre,Chuquisaca,highland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,4.301588240537268e-07,72
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
tarija,Tarija,Tarija,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,2.073331980520673e-06,73
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
trinidad,Trinidad,Beni,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,5.992858854722012e-06,85
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2022-01-01,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,1.11256005215422e-05,54
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cobija,Cobija,Pando,lowland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,1.762860816335372e-05,523
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,4.645528412733174e-06,683
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
montero,Montero,Santa Cruz,lowland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,3.5814959645758165e-06,153
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
oruro,Oruro,Oruro,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,-3.788296022930551e-07,26
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
potosi,Potosí,Potosí,highland,2022-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2022-01-02,,0
