roi,name,dept,altitude,date,no2_mol_m2,n_valid_pixels
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cobija,Cobija,Pando,lowland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,5.779477764427797e-06,33
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
montero,Montero,Santa Cruz,lowland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
oruro,Oruro,Oruro,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
potosi,Potosí,Potosí,highland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,1.059064942948112e-05,1618
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,7.918957209267473e-06,141
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
sucre,Sucre,Chuquisaca,highland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
tarija,Tarija,Tarija,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,1.7588888544376594e-06,12
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
trinidad,Trinidad,Beni,lowland,2025-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2025-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2025-01-01,,0
