roi,name,dept,altitude,date,no2_mol_m2,n_valid_pixels
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,9.476082647499832e-06,3
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,1.3451166730243063e-05,351
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,1.0542227291793935e-05,2
montero,Montero,Santa Cruz,lowland,2024-01-01,5.116927299254991e-06,104
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
montero,Montero,Santa Cruz,lowland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,2.2910177464272578e-06,30
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
oruro,Oruro,Oruro,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
potosi,Potosí,Potosí,highland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,7.00560314845028e-06,1606
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,1.5475910647868805e-06,1603
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,-1.1048580226890943e-06,21
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
sucre,Sucre,Chuquisaca,highland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
tarija,Tarija,Tarija,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,8.35046726434172e-06,19
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
trinidad,Trinidad,Beni,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
yacuiba,Yacuiba,Tarija,lowland,2024-01-01,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,6.806317680553468e-06,54
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cobija,Cobija,Pando,lowland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,2.4254408318723974e-05,591
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
cochabamba,Cochabamba,Cochabamba,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,1.1455482263243764e-05,452
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
la_paz_el_alto,La Paz–El Alto,La Paz,highland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
montero,Montero,Santa Cruz,lowland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,8.097521218320007e-06,88
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
oruro,Oruro,Oruro,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
potosi,Potosí,Potosí,highland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
santa_cruz,Santa Cruz,Santa Cruz,lowland,2024-01-02,,0
